ImageID,XMin,YMin,XMax,YMax,Labels
0000201cd362f303,0.919375,0.88743,0.999375,0.999062,/m/0bwd_0j
000020780ccee28d,0.0,0.114375,0.262719,0.680625,/m/0bwd_0j
000020780ccee28d,0.091743,0.0,0.341118,0.524375,/m/0bwd_0j
000020780ccee28d,0.0,0.608125,0.850709,0.999375,/m/0bwd_0j
000020780ccee28d,0.0,0.254375,0.243536,0.635,/m/0bwd_0j
000023aa04ab09ed,0.289141,0.169231,0.570707,0.617308,/m/07dm6
000023aa04ab09ed,0.0,0.0,0.693182,0.980769,/m/07dm6
000023aa04ab09ed,0.218434,0.290385,0.998737,0.761538,/m/07dm6
000023aa04ab09ed,0.477273,0.578846,0.998737,0.998077,/m/07dm6
000023aa04ab09ed,0.643939,0.0,0.998737,0.590385,/m/07dm6
000023aa04ab09ed,0.272727,0.0,0.690657,0.263462,/m/07dm6
0000253ea4ecbf19,0.416875,0.6225,0.9175,0.930833,/m/0bwd_0j
0000253ea4ecbf19,0.0,0.0,0.395625,0.645,/m/0bwd_0j
0000253ea4ecbf19,0.34875,0.120833,0.71,0.655833,/m/0bwd_0j
0000253ea4ecbf19,0.359375,0.813333,0.4975,0.905,/m/0bwd_0j
0000253ea4ecbf19,0.450625,0.0,0.68875,0.120833,/m/0bwd_0j
0000313e5dccf13b,0.102564,0.113,0.854701,0.626,/m/0bwd_0j
0000313e5dccf13b,0.367521,0.149,0.533333,0.279,/m/0bwd_0j
0000313e5dccf13b,0.094017,0.034,0.933333,0.997,/m/0bwd_0j
0000313e5dccf13b,0.099145,0.151,0.736752,0.612,/m/0bwd_0j
0000313e5dccf13b,0.512821,0.471,0.926496,0.999,/m/0bwd_0j
0000313e5dccf13b,0.097436,0.036,0.924786,0.999,/m/0bwd_0j
0000313e5dccf13b,0.268376,0.027,0.536752,0.165,/m/0bwd_0j
0000313e5dccf13b,0.107692,0.201,0.28547,0.39,/m/0bwd_0j
0000313e5dccf13b,0.25812,0.179,0.630769,0.395,/m/0bwd_0j
0000313e5dccf13b,0.388034,0.544,0.875214,0.89,/m/0bwd_0j
0000313e5dccf13b,0.246154,0.236,0.294017,0.313,/m/0bwd_0j
0000313e5dccf13b,0.261538,0.174,0.335043,0.242,/m/0bwd_0j
000033469fb48bc1,0.0,0.015023,0.48625,0.999061,/m/0bwd_0j
000033469fb48bc1,0.2825,0.116432,0.555625,0.995305,/m/0bwd_0j
000033469fb48bc1,0.494375,0.15493,0.72375,0.999061,/m/0bwd_0j
000033469fb48bc1,0.665625,0.170892,0.93375,0.999061,/m/0bwd_0j
000033469fb48bc1,0.746875,0.090141,0.999375,0.999061,/m/0bwd_0j
000033469fb48bc1,0.0,0.504225,0.483125,0.999061,/m/0bwd_0j
000033469fb48bc1,0.28125,0.319249,0.556875,0.996244,/m/0bwd_0j
000033469fb48bc1,0.6825,0.367136,0.92875,0.906103,/m/0bwd_0j
000033469fb48bc1,0.78125,0.361502,0.999375,0.998122,/m/0bwd_0j
000033469fb48bc1,0.145,0.324883,0.185,0.475117,/m/0bwd_0j
000033469fb48bc1,0.3925,0.228169,0.4,0.280751,/m/0bwd_0j
000033469fb48bc1,0.483125,0.234742,0.49875,0.282629,/m/0bwd_0j
000033469fb48bc1,0.690625,0.275117,0.71125,0.315493,/m/0bwd_0j
000033469fb48bc1,0.0,0.0,0.178125,0.50892,/m/0bwd_0j
000033469fb48bc1,0.39375,0.121127,0.504375,0.341784,/m/0bwd_0j
000033469fb48bc1,0.62,0.158685,0.72,0.349296,/m/0bwd_0j
000033469fb48bc1,0.753125,0.173709,0.856875,0.393427,/m/0bwd_0j
000033469fb48bc1,0.281875,0.34554,0.41375,0.668545,/m/0bwd_0j
000033469fb48bc1,0.4625,0.384038,0.548125,0.695775,/m/0bwd_0j
000033469fb48bc1,0.5325,0.662911,0.62875,0.73615,/m/0bwd_0j
000033469fb48bc1,0.551875,0.639437,0.715,0.726761,/m/0bwd_0j
000033469fb48bc1,0.67,0.252582,0.77375,0.624413,/m/0bwd_0j
000033469fb48bc1,0.744375,0.077934,0.89625,0.987793,/m/0bwd_0j
000033469fb48bc1,0.87,0.384038,0.944375,0.574648,/m/0bwd_0j
000045257f66b9e2,0.123047,0.50651,0.285156,0.998698,/m/0bwd_0j
000045257f66b9e2,0.171875,0.158854,0.696289,0.548177,/m/0bwd_0j
000045257f66b9e2,0.233398,0.391927,0.405273,0.998698,/m/0bwd_0j
000045257f66b9e2,0.239258,0.455729,0.364258,0.998698,/m/0bwd_0j
000045257f66b9e2,0.308594,0.373698,0.415039,0.90625,/m/0bwd_0j
000045257f66b9e2,0.380859,0.390625,0.52832,0.998698,/m/0bwd_0j
000045257f66b9e2,0.451172,0.367188,0.576172,0.91276,/m/0bwd_0j
000045257f66b9e2,0.554688,0.354167,0.660156,0.89974,/m/0bwd_0j
000045257f66b9e2,0.592773,0.394531,0.71875,0.89974,/m/0bwd_0j
000045257f66b9e2,0.670898,0.385417,0.791016,0.998698,/m/0bwd_0j
000045257f66b9e2,0.717773,0.514323,0.9375,0.998698,/m/0bwd_0j
000045257f66b9e2,0.124023,0.5,0.287109,0.998698,/m/0bwd_0j
000045257f66b9e2,0.166016,0.27474,0.28418,0.552083,/m/0bwd_0j
000045257f66b9e2,0.234375,0.433594,0.382812,0.998698,/m/0bwd_0j
000045257f66b9e2,0.268555,0.382812,0.405273,0.998698,/m/0bwd_0j
000045257f66b9e2,0.31543,0.360677,0.405273,0.765625,/m/0bwd_0j
000045257f66b9e2,0.316406,0.313802,0.365234,0.401042,/m/0bwd_0j
000045257f66b9e2,0.326172,0.183594,0.398438,0.321615,/m/0bwd_0j
000045257f66b9e2,0.353516,0.25,0.415039,0.394531,/m/0bwd_0j
000045257f66b9e2,0.369141,0.313802,0.455078,0.507812,/m/0bwd_0j
000045257f66b9e2,0.378906,0.386719,0.532227,0.998698,/m/0bwd_0j
000045257f66b9e2,0.382812,0.177083,0.402344,0.240885,/m/0bwd_0j
000045257f66b9e2,0.385742,0.234375,0.429688,0.326823,/m/0bwd_0j
000045257f66b9e2,0.40332,0.184896,0.445312,0.285156,/m/0bwd_0j
000045257f66b9e2,0.413086,0.217448,0.501953,0.38151,/m/0bwd_0j
000045257f66b9e2,0.435547,0.164062,0.481445,0.259115,/m/0bwd_0j
000045257f66b9e2,0.447266,0.356771,0.543945,0.911458,/m/0bwd_0j
000045257f66b9e2,0.455078,0.255208,0.59082,0.770833,/m/0bwd_0j
000045257f66b9e2,0.486328,0.229167,0.523438,0.296875,/m/0bwd_0j
000045257f66b9e2,0.511719,0.171875,0.549805,0.263021,/m/0bwd_0j
000045257f66b9e2,0.532227,0.25,0.607422,0.388021,/m/0bwd_0j
000045257f66b9e2,0.554688,0.213542,0.59082,0.265625,/m/0bwd_0j
000045257f66b9e2,0.556641,0.346354,0.667969,0.898438,/m/0bwd_0j
000045257f66b9e2,0.574219,0.14974,0.629883,0.253906,/m/0bwd_0j
000045257f66b9e2,0.577148,0.24349,0.628906,0.335938,/m/0bwd_0j
000045257f66b9e2,0.59082,0.388021,0.720703,0.976562,/m/0bwd_0j
000045257f66b9e2,0.608398,0.260417,0.697266,0.440104,/m/0bwd_0j
000045257f66b9e2,0.619141,0.192708,0.701172,0.359375,/m/0bwd_0j
000045257f66b9e2,0.663086,0.385417,0.793945,0.998698,/m/0bwd_0j
000045257f66b9e2,0.725586,0.510417,0.939453,0.998698,/m/0bwd_0j
000045257f66b9e2,0.0,0.040365,0.347656,0.998698,/m/0bwd_0j
000045257f66b9e2,0.05957,0.08724,0.148438,0.222656,/m/0bwd_0j
000045257f66b9e2,0.097656,0.001302,0.147461,0.033854,/m/0bwd_0j
000045257f66b9e2,0.146484,0.0,0.178711,0.049479,/m/0bwd_0j
000045257f66b9e2,0.166016,0.061198,0.276367,0.111979,/m/0bwd_0j
000045257f66b9e2,0.178711,0.00651,0.204102,0.041667,/m/0bwd_0j
000045257f66b9e2,0.250977,0.074219,0.360352,0.138021,/m/0bwd_0j
000045257f66b9e2,0.351562,0.117188,0.792969,0.292969,/m/0bwd_0j
000045257f66b9e2,0.663086,0.21224,0.999023,0.994792,/m/0bwd_0j
000045257f66b9e2,0.829102,0.141927,0.941406,0.24349,/m/0bwd_0j
00004b19ca2c952f,0.58625,0.521576,0.666875,0.727017,/m/096mb
00004b19ca2c952f,0.198125,0.0,0.4075,0.999062,/m/096mb
00004b19ca2c952f,0.4175,0.291745,0.5225,0.716698,/m/096mb
00004b19ca2c952f,0.52,0.298311,0.61375,0.703565,/m/096mb
00004b19ca2c952f,0.5675,0.258912,0.999375,0.737336,/m/096mb
00004b19ca2c952f,0.238125,0.0,0.335625,0.118199,/m/096mb
00004b19ca2c952f,0.720625,0.494371,0.77625,0.718574,/m/096mb
00004b19ca2c952f,0.779375,0.454972,0.825625,0.712946,/m/096mb
00004b19ca2c952f,0.871875,0.453096,0.95375,0.712946,/m/096mb
00004b19ca2c952f,0.95,0.456848,0.999375,0.705441,/m/096mb
00004b19ca2c952f,0.27125,0.941839,0.3075,0.999062,/m/096mb
00004b19ca2c952f,0.293125,0.824578,0.35125,0.994371,/m/096mb
00004b19ca2c952f,0.4125,0.682927,0.45,0.727017,/m/096mb
00004b19ca2c952f,0.45625,0.626642,0.479375,0.655722,/m/096mb
00004b19ca2c952f,0.471875,0.686679,0.495,0.713884,/m/096mb
00004b19ca2c952f,0.494375,0.615385,0.5175,0.650094,/m/096mb
00004b19ca2c952f,0.515,0.688555,0.534375,0.723265,/m/096mb
00004b19ca2c952f,0.57375,0.679174,0.598125,0.732645,/m/096mb
00004b19ca2c952f,0.634375,0.677298,0.66625,0.738274,/m/096mb
00004b19ca2c952f,0.6725,0.686679,0.699375,0.725141,/m/096mb
00004b19ca2c952f,0.693125,0.690432,0.7225,0.727017,/m/096mb
00004b19ca2c952f,0.739375,0.717636,0.785625,0.745779,/m/096mb
00004b19ca2c952f,0.77,0.709193,0.794375,0.738274,/m/096mb
00004b19ca2c952f,0.796875,0.705441,0.81375,0.728893,/m/096mb
00004b19ca2c952f,0.82875,0.677298,0.86,0.727017,/m/096mb
00004b19ca2c952f,0.854375,0.679174,0.890625,0.725141,/m/096mb
00004b19ca2c952f,0.885625,0.697936,0.906875,0.725141,/m/096mb
00004b19ca2c952f,0.9125,0.717636,0.949375,0.727017,/m/096mb
00004b19ca2c952f,0.965,0.69606,0.999375,0.723265,/m/096mb
00004b19ca2c952f,0.98625,0.703565,0.999375,0.723265,/m/096mb
00004c0084725c43,0.0,0.0,0.99875,0.995833,/m/0bwd_0j
00004c0084725c43,0.379375,0.22,0.4225,0.305833,/m/0bwd_0j
00004c0084725c43,0.39875,0.295833,0.409375,0.316667,/m/0bwd_0j
00004c0084725c43,0.410625,0.299167,0.42375,0.32,/m/0bwd_0j
00004c0084725c43,0.415625,0.2,0.42875,0.234167,/m/0bwd_0j
00004c0084725c43,0.42375,0.299167,0.43375,0.32,/m/0bwd_0j
00004c0084725c43,0.43,0.195,0.446875,0.229167,/m/0bwd_0j
00004c0084725c43,0.43375,0.310833,0.444375,0.338333,/m/0bwd_0j
00004c0084725c43,0.445625,0.321667,0.451875,0.345833,/m/0bwd_0j
00004c0084725c43,0.449375,0.195,0.4625,0.230833,/m/0bwd_0j
00004c0084725c43,0.454375,0.326667,0.46375,0.3475,/m/0bwd_0j
00004c0084725c43,0.46375,0.325,0.47375,0.3475,/m/0bwd_0j
00004c0084725c43,0.465,0.1925,0.47625,0.234167,/m/0bwd_0j
00004c0084725c43,0.478125,0.314167,0.5075,0.3425,/m/0bwd_0j
00004c0084725c43,0.479375,0.1925,0.488125,0.229167,/m/0bwd_0j
00004c0084725c43,0.489375,0.1925,0.5025,0.226667,/m/0bwd_0j
00004c0084725c43,0.50625,0.196667,0.519375,0.225833,/m/0bwd_0j
00004c0084725c43,0.51375,0.318333,0.520625,0.338333,/m/0bwd_0j
00004c0084725c43,0.521875,0.321667,0.530625,0.3425,/m/0bwd_0j
00004c0084725c43,0.523125,0.189167,0.5375,0.224167,/m/0bwd_0j
00004c0084725c43,0.533125,0.323333,0.545,0.345833,/m/0bwd_0j
00004c0084725c43,0.53875,0.195,0.5525,0.229167,/m/0bwd_0j
00004c0084725c43,0.5475,0.299167,0.5825,0.34,/m/0bwd_0j
00004c0084725c43,0.55,0.203333,0.563125,0.230833,/m/0bwd_0j
00004c0084725c43,0.555625,0.233333,0.566875,0.2575,/m/0bwd_0j
00004c0084725c43,0.566875,0.236667,0.5775,0.266667,/m/0bwd_0j
00004c0084725c43,0.571875,0.285,0.58375,0.3025,/m/0bwd_0j
00004c0084725c43,0.58125,0.2425,0.59,0.268333,/m/0bwd_0j
00004c0084725c43,0.58625,0.2475,0.611875,0.304167,/m/0bwd_0j
0000530c47410921,0.103333,0.09375,0.592222,0.43875,/m/0bwd_0j
0000530c47410921,0.112222,0.1575,0.343333,0.31125,/m/0bwd_0j
0000530c47410921,0.571111,0.238125,0.713333,0.331875,/m/0bwd_0j
0000530c47410921,0.713333,0.238125,0.911111,0.32,/m/0bwd_0j
0000575f5a03db70,0.026563,0.164127,0.982813,0.83939,/m/0bwd_0j
0000587b9647679e,0.064375,0.216667,0.6375,0.809167,/m/0bwd_0j
0000587b9647679e,0.0,0.0,0.519375,0.1375,/m/0bwd_0j
00005903203677bc,0.0,0.788333,0.999375,0.999167,/m/0bwd_0j
00005903203677bc,0.0,0.046667,0.944375,0.958333,/m/0bwd_0j
0000599864fd15b3,0.54,0.412041,0.661875,1.0,/m/0bwd_0j
0000599864fd15b3,0.0675,0.455315,0.240625,0.983067,/m/0bwd_0j
0000599864fd15b3,0.094375,0.467545,0.1075,0.502352,/m/0bwd_0j
0000599864fd15b3,0.1125,0.471308,0.125625,0.507996,/m/0bwd_0j
0000599864fd15b3,0.128125,0.267168,0.17625,0.381938,/m/0bwd_0j
0000599864fd15b3,0.195,0.257761,0.2475,0.41016,/m/0bwd_0j
0000599864fd15b3,0.34375,0.156162,0.90875,0.650047,/m/0bwd_0j
0000599864fd15b3,0.199375,0.444967,0.350625,0.999059,/m/0bwd_0j
0000599864fd15b3,0.45875,0.413923,0.596875,0.999059,/m/0bwd_0j
0000599864fd15b3,0.6275,0.468485,0.646875,0.508937,/m/0bwd_0j
0000599864fd15b3,0.72875,0.470367,0.751875,0.510818,/m/0bwd_0j
0000599864fd15b3,0.3575,0.259643,0.401875,0.312324,/m/0bwd_0j
0000599864fd15b3,0.434375,0.229539,0.493125,0.312324,/m/0bwd_0j
0000599864fd15b3,0.51875,0.273754,0.551875,0.317968,/m/0bwd_0j
0000599864fd15b3,0.5775,0.275635,0.608125,0.321731,/m/0bwd_0j
0000599864fd15b3,0.643125,0.271872,0.66375,0.327375,/m/0bwd_0j
0000599864fd15b3,0.648125,0.455315,0.67125,0.507056,/m/0bwd_0j
0000599864fd15b3,0.6725,0.466604,0.699375,0.5127,/m/0bwd_0j
0000599864fd15b3,0.68375,0.281279,0.704375,0.329257,/m/0bwd_0j
0000599864fd15b3,0.705625,0.46096,0.73,0.5127,/m/0bwd_0j
0000599864fd15b3,0.72125,0.298213,0.748125,0.329257,/m/0bwd_0j
0000599864fd15b3,0.725,0.47413,0.751875,0.514581,/m/0bwd_0j
0000599864fd15b3,0.77125,0.290687,0.796875,0.341486,/m/0bwd_0j
0000599864fd15b3,0.07625,0.864534,0.204375,0.999059,/m/0bwd_0j
0000599864fd15b3,0.196875,0.798683,0.299375,0.999059,/m/0bwd_0j
0000599864fd15b3,0.310625,0.818438,0.454375,0.999059,/m/0bwd_0j
0000599864fd15b3,0.468125,0.819379,0.564375,0.999059,/m/0bwd_0j
0000599864fd15b3,0.553125,0.782691,0.653125,0.999059,/m/0bwd_0j
0000599864fd15b3,0.0,0.556914,0.054375,0.620884,/m/0bwd_0j
00005e7429a94ad4,0.03,0.204167,0.17625,0.853333,/m/0bwd_0j
00005e7429a94ad4,0.195625,0.205833,0.5075,0.894167,/m/0bwd_0j
00005e7429a94ad4,0.3825,0.154167,0.551875,0.815,/m/0bwd_0j
00005e7429a94ad4,0.53125,0.205833,0.778125,0.420833,/m/0bwd_0j
00005e7429a94ad4,0.775,0.178333,0.9125,0.85,/m/0bwd_0j
00005e7429a94ad4,0.939375,0.396667,0.983125,0.6225,/m/0bwd_0j
00005e7429a94ad4,0.0,0.0,0.999375,0.999167,/m/0bwd_0j
00006685513e6bc4,0.428125,0.332423,0.45,0.361566,/m/0bwd_0j
00006685513e6bc4,0.23875,0.503643,0.308125,0.744991,/m/0bwd_0j
00006685513e6bc4,0.274375,0.522769,0.379375,0.787796,/m/0bwd_0j
00006685513e6bc4,0.45875,0.42714,0.54875,0.759563,/m/0bwd_0j
00006685513e6bc4,0.49375,0.542805,0.570625,0.746812,/m/0bwd_0j
00006685513e6bc4,0.54625,0.505464,0.64125,0.777778,/m/0bwd_0j
00006685513e6bc4,0.7,0.533698,0.86375,0.887978,/m/0bwd_0j
00006685513e6bc4,0.730625,0.514572,0.789375,0.819672,/m/0bwd_0j
00006685513e6bc4,0.90375,0.530055,0.955,0.787796,/m/0bwd_0j
00006685513e6bc4,0.236875,0.734062,0.2525,0.746812,/m/0bwd_0j
00006685513e6bc4,0.27,0.734062,0.289375,0.743169,/m/0bwd_0j
00006685513e6bc4,0.27625,0.76776,0.291875,0.788707,/m/0bwd_0j
00006685513e6bc4,0.344375,0.753188,0.3725,0.785064,/m/0bwd_0j
00006685513e6bc4,0.453125,0.847905,0.475,0.876138,/m/0bwd_0j
00006685513e6bc4,0.548125,0.748634,0.56875,0.771403,/m/0bwd_0j
00006685513e6bc4,0.5675,0.737705,0.575,0.746812,/m/0bwd_0j
00006685513e6bc4,0.624375,0.753188,0.64375,0.775956,/m/0bwd_0j
00006685513e6bc4,0.73375,0.795993,0.78375,0.812386,/m/0bwd_0j
00006685513e6bc4,0.735,0.734062,0.749375,0.751366,/m/0bwd_0j
00006685513e6bc4,0.745625,0.840619,0.798125,0.885246,/m/0bwd_0j
00006685513e6bc4,0.904375,0.765938,0.93375,0.785975,/m/0bwd_0j
00006685513e6bc4,0.94,0.771403,0.960625,0.78051,/m/0bwd_0j
00006bdb1eb5cd74,0.325,0.340852,0.409167,0.387218,/m/0bwd_0j
00006bdb1eb5cd74,0.2825,0.77193,0.455833,0.95614,/m/0bwd_0j
00006bdb1eb5cd74,0.19,0.31203,0.215833,0.390977,/m/0bwd_0j
00006bdb1eb5cd74,0.240833,0.215539,0.458333,0.998747,/m/0bwd_0j
00006bdb1eb5cd74,0.276667,0.141604,0.6975,0.437343,/m/0bwd_0j
00006bdb1eb5cd74,0.7025,0.204261,0.999167,0.409774,/m/0bwd_0j
00006bdb1eb5cd74,0.036667,0.380952,0.055,0.408521,/m/0bwd_0j
00006bdb1eb5cd74,0.0925,0.367168,0.1,0.394737,/m/0bwd_0j
00006bdb1eb5cd74,0.414167,0.382206,0.455833,0.444862,/m/0bwd_0j
00006bdb1eb5cd74,0.643333,0.37218,0.679167,0.428571,/m/0bwd_0j
00006bdb1eb5cd74,0.874167,0.367168,0.895,0.408521,/m/0bwd_0j
00006bdb1eb5cd74,0.9,0.363409,0.920833,0.406015,/m/0bwd_0j
00006bdb1eb5cd74,0.114167,0.304511,0.2325,0.382206,/m/0bwd_0j
00006bdb1eb5cd74,0.28,0.14411,0.6975,0.429825,/m/0bwd_0j
00006bdb1eb5cd74,0.700833,0.209273,0.999167,0.417293,/m/0bwd_0j
000077165b72a53b,0.416667,0.270312,0.504167,0.31875,/m/096mb
000077165b72a53b,0.564583,0.282813,0.629167,0.326562,/m/096mb
000077165b72a53b,0.0,0.0,0.877083,0.998438,/m/096mb
000077165b72a53b,0.452083,0.4,0.604167,0.471875,/m/096mb
000077165b72a53b,0.197917,0.123438,0.7,0.676562,/m/096mb
000077165b72a53b,0.095833,0.0,0.775,0.864062,/m/096mb
000077165b72a53b,0.38125,0.232812,0.6625,0.548437,/m/096mb
00008206f111b234,0.145,0.078889,0.38625,0.408889,/m/0bwd_0j
00008206f111b234,0.155625,0.827778,0.25125,0.975556,/m/0bwd_0j
00008206f111b234,0.175625,0.688889,0.225625,0.755556,/m/0bwd_0j
00008206f111b234,0.176875,0.504444,0.269375,0.582222,/m/0bwd_0j
00008206f111b234,0.29,0.798889,0.366875,0.933333,/m/0bwd_0j
00008206f111b234,0.308125,0.504444,0.378125,0.577778,/m/0bwd_0j
00008206f111b234,0.313125,0.66,0.34875,0.736667,/m/0bwd_0j
00008206f111b234,0.48375,0.0,0.973125,0.998889,/m/0bwd_0j
00008206f111b234,0.47375,0.001111,0.963125,0.998889,/m/0bwd_0j
00008206f111b234,0.446875,0.0,0.999375,0.998889,/m/0bwd_0j
0000862a233105cc,0.169375,0.134146,0.999375,0.994371,/m/07dm6
0000862a233105cc,0.219375,0.363039,0.479375,0.714822,/m/07dm6
0000880f55542351,0.125625,0.403377,0.291875,0.942777,/m/0bwd_0j
0000880f55542351,0.431875,0.518762,0.486875,0.812383,/m/0bwd_0j
0000880f55542351,0.53125,0.484053,0.601875,0.806754,/m/0bwd_0j
0000880f55542351,0.61125,0.522514,0.701875,0.806754,/m/0bwd_0j
0000880f55542351,0.754375,0.388368,0.95,0.860225,/m/0bwd_0j
0000880f55542351,0.011875,0.016886,0.988125,0.984991,/m/0bwd_0j
00008d167563158c,0.053631,0.130726,0.640223,0.950838,/m/07dm6
00008d167563158c,0.109497,0.332961,0.394413,0.87486,/m/07dm6
00008d167563158c,0.16648,0.367598,0.256983,0.473743,/m/07dm6
00008d167563158c,0.239106,0.132961,0.455866,0.392179,/m/07dm6
00008d167563158c,0.051397,0.145251,0.643575,0.953073,/m/07dm6
00008d167563158c,0.092737,0.468156,0.406704,0.859218,/m/07dm6
000097e74a49f910,0.07125,0.196998,0.138125,0.454972,/m/07dm6
000097e74a49f910,0.27125,0.224203,0.390625,0.330206,/m/07dm6
000097e74a49f910,0.34625,0.292683,0.81625,0.870544,/m/07dm6
000097e74a49f910,0.41,0.258912,0.658125,0.909006,/m/07dm6
000097e74a49f910,0.604375,0.130394,0.698125,0.251407,/m/07dm6
000097e74a49f910,0.6225,0.170732,0.693125,0.378049,/m/07dm6
000097e74a49f910,0.72875,0.041276,0.804375,0.286116,/m/07dm6
000097e74a49f910,0.735,0.010319,0.82625,0.120075,/m/07dm6
000097e74a49f910,0.7375,0.137899,0.916875,0.82833,/m/07dm6
000097e74a49f910,0.803125,0.0,0.949375,0.324578,/m/07dm6
000097e74a49f910,0.0,0.011257,0.999375,0.999062,/m/07dm6
000097e74a49f910,0.3575,0.41182,0.624375,0.601313,/m/07dm6
000097e74a49f910,0.033125,0.469981,0.076875,0.5394,/m/07dm6
000097e74a49f910,0.095625,0.160413,0.11125,0.178236,/m/07dm6
000097e74a49f910,0.4775,0.359287,0.5725,0.425891,/m/07dm6
000097e74a49f910,0.76875,0.214822,0.860625,0.247655,/m/07dm6
000097e74a49f910,0.785,0.035647,0.808125,0.046904,/m/07dm6
00009e5b390986a0,0.46,0.883677,0.50125,0.913696,/m/096mb
00009e5b390986a0,0.98375,0.761726,0.9975,0.780488,/m/096mb
00009e5b390986a0,0.0,0.0,0.99875,0.866792,/m/096mb
00009e5b390986a0,0.22,0.575985,0.37625,0.739212,/m/096mb
00009e5b390986a0,0.29625,0.285178,0.40875,0.427767,/m/096mb
00009e5b390986a0,0.59,0.330206,0.68,0.43152,/m/096mb
00009e5b390986a0,0.64875,0.559099,0.75875,0.684803,/m/096mb
00009e5b390986a0,0.8075,0.575985,0.86625,0.697936,/m/096mb
00009e5b390986a0,0.92125,0.373358,0.985,0.472795,/m/096mb
00009e5b390986a0,0.9375,0.570356,0.995,0.697936,/m/096mb
00009e5b390986a0,0.44625,0.619137,0.9375,0.998124,/m/096mb
00009e5b390986a0,0.95125,0.724203,0.99875,0.87242,/m/096mb
0000b4b26ef88376,0.065,0.273214,0.175,0.6375,/m/096mb
0000b4b26ef88376,0.188125,0.201786,0.999375,0.999107,/m/096mb
0000b4b26ef88376,0.261875,0.248214,0.38125,0.825,/m/096mb
0000b4b26ef88376,0.5525,0.216964,0.7625,0.999107,/m/096mb
0000b4b26ef88376,0.180625,0.329464,0.27,0.633036,/m/096mb
0000b4b26ef88376,0.4725,0.296429,0.636875,0.889286,/m/096mb
0000b4b26ef88376,0.56375,0.301786,0.760625,0.997321,/m/096mb
0000b4b26ef88376,0.746875,0.313393,0.89125,0.627679,/m/096mb
0000b4b26ef88376,0.844375,0.323214,0.999375,0.999107,/m/096mb
0000b4b26ef88376,0.948125,0.316071,0.999375,0.382143,/m/096mb
0000b4b26ef88376,0.0,0.0,0.999375,0.441071,/m/096mb
0000b4b26ef88376,0.34625,0.525,0.40625,0.742857,/m/096mb
0000b4b26ef88376,0.844375,0.708929,0.953125,0.805357,/m/096mb
0000c6d9fe885c64,0.0,0.00625,0.998205,0.99875,/m/096mb
0000de486dc6c49f,0.019608,0.02451,0.998366,0.977124,/m/07dm6
0000edccaaface2f,0.0,0.046667,0.110625,0.411667,/m/0bwd_0j
0000edccaaface2f,0.00875,0.0325,0.16125,0.358333,/m/0bwd_0j
0000edccaaface2f,0.1225,0.108333,0.186875,0.340833,/m/0bwd_0j
