,Path,XMin,YMin,XMax,YMax,ImageID
844,899.png,0.085938,0.2625,0.926562,0.998438,00205b05bcd4257a
1576,1720.png,0.0,0.0,0.42375,0.999062,00ed67e74705df5b
988,1076.png,0.215,0.098333,0.80625,0.999167,003e426d2edba8af
65,72.png,0.255,0.245,0.39125,0.405,009fe379015d01ee
1126,1223.png,0.79,0.131667,0.999375,0.546667,0cac4f87eaa1e5ee
902,978.png,0.558125,0.1629,0.999375,0.996234,00459933348988dd
1175,1276.png,0.675,0.088132,0.713281,0.13866,0081d67c4cfc9134
142,151.png,0.00625,0.244167,0.999375,0.823333,0092ad9f18558bbc
2122,2304.png,0.105625,0.236667,0.1775,0.348333,00048edce2a37368
1830,1995.png,0.5325,0.0,0.72,0.333662,00758c10b2da2954
2648,2907.png,0.47168,0.367496,0.983398,0.998536,0000f53faa4d14c3
2189,2378.png,0.085938,0.2625,0.926562,0.998438,00205b05bcd4257a
2497,2730.png,0.28,0.638125,0.763333,0.926875,009b8410bdb5b7b3
2658,2918.png,0.077586,0.0425,0.948276,0.965,006af52d76f913db
106,113.png,0.882031,0.133333,0.999219,0.261472,8467c3cf0b323a87
2512,2747.png,0.027778,0.315359,0.287582,0.606209,00102e56cf417797
2428,2657.png,0.268125,0.354597,0.63375,0.879925,1c2e537ff0a0e127
388,414.png,0.24875,0.066722,0.945625,0.626355,03982ceb4b545f32
1334,1469.png,0.555556,0.436019,0.78254,0.720379,02f4ebb9043ee62a
1063,1158.png,0.870313,0.541667,0.909375,0.65,0ac62068d1328100
1966,2142.png,0.0,0.0,0.64,0.999375,00d480fe5f01a039
1150,1249.png,0.164676,0.084,0.912116,0.726,0001c222f055d7fc
490,521.png,0.0,0.0025,0.890625,0.999167,00be189ddee94ecc
594,636.png,0.645625,0.646893,0.696875,0.700565,1c5ef6c1f1a07fc7
1602,1746.png,0.359802,0.191067,0.665012,0.573201,83dbf48474d9dabb
2386,2615.png,0.72375,0.281793,0.9825,0.889296,0108699b58fba47f
1619,1763.png,0.505,0.521536,0.6,0.576779,000ca4a1855318b1
1299,1424.png,0.404297,0.355783,0.589844,0.658858,0000f53faa4d14c3
1450,1591.png,0.728125,0.278788,0.853906,0.547186,8467c3cf0b323a87
1870,2046.png,0.645377,0.303125,0.801716,0.379167,0008fba87dd4aed2
441,470.png,0.22542,0.157025,0.374101,0.77686,057f8ea4bcb05b2c
1135,1232.png,0.54625,0.386752,0.70875,0.725427,006512eb4a092212
2025,2206.png,0.050625,0.27955,0.153125,0.534709,0098915ff17c199c
476,507.png,0.616875,0.048371,0.683125,0.123396,00758c10b2da2954
131,138.png,0.36,0.0,0.440625,0.151032,013d0f61873215a8
1951,2127.png,0.000781,0.413915,0.328906,0.801887,0eb6e18693f9a7d3
207,216.png,0.375,0.0,0.811111,0.25,5274ebb5f42fb82c
1543,1686.png,0.0,0.275,0.958245,0.999375,015782fa093545e0
1967,2143.png,0.086111,0.335317,0.172222,0.464286,005678cab46fcec5
1924,2100.png,0.200625,0.0,0.290625,0.071563,1c5ef6c1f1a07fc7
1426,1567.png,0.5925,0.255,0.76875,0.388333,009fe379015d01ee
500,542.png,0.745625,0.295833,0.9925,0.721667,02ce218553cc3f15
1862,2038.png,0.0725,0.0,0.14125,0.069167,02ce218553cc3f15
505,547.png,0.83875,0.428333,0.881875,0.4625,02ce218553cc3f15
1416,1557.png,0.40875,0.683333,0.42625,0.713333,009fe379015d01ee
1529,1672.png,0.45037,0.356784,0.518519,0.398241,07b5bc80c5797f3a
530,572.png,0.48,0.507505,0.5725,0.625704,0017830e8b7b0579
1988,2165.png,0.3575,0.402439,0.430625,0.488743,003df9e04b7ba316
936,1014.png,0.25,0.080524,0.765625,0.990637,0351a7027db236c5
1245,1360.png,0.18125,0.04375,0.985937,0.875,62775d9d1d9356c6
333,352.png,0.087742,0.446875,0.614839,0.804375,074d6af730ed17a6
791,840.png,0.00625,0.0,0.96375,0.963333,0a3f7d4ec0b9845a
834,886.png,0.07113,0.670625,0.358996,0.90625,0012aa7a73b51d94
2230,2435.png,0.396875,0.31,0.6125,0.620833,001e2cd338ff3ed0
1168,1269.png,0.0,0.464353,0.439375,0.792683,01b32704f5a7cc89
2229,2434.png,0.325556,0.097015,0.437778,0.791045,0d5893453d58ac48
1844,2019.png,0.54375,0.083067,0.94375,0.910543,257b9c03f86c100d
811,863.png,0.000747,0.000625,0.999253,0.999375,0b751a61fc30f140
414,442.png,0.053333,0.056667,0.963333,0.946667,12643df157e0d7f7
100,107.png,0.853906,0.012121,0.999219,0.272727,8467c3cf0b323a87
2123,2305.png,0.22125,0.463333,0.493125,0.898333,00048edce2a37368
907,983.png,0.233125,0.072803,0.990625,0.999163,000467588f9797fc
1646,1791.png,0.136111,0.022222,0.300926,0.137037,00341c3c5825fc7e
67,74.png,0.27375,0.638333,0.29,0.668333,009fe379015d01ee
2541,2779.png,0.78,0.385435,0.992,0.852575,00097c09aca0cabf
2160,2346.png,0.318125,0.376481,0.471875,0.652689,006881240855f4a9
1219,1334.png,0.547988,0.189474,0.987616,0.889474,0dc7298a3f663786
150,159.png,0.104575,0.24183,0.227124,0.609477,05bf044b6e59fcbf
475,506.png,0.549375,0.11846,0.595625,0.17769,00758c10b2da2954
622,664.png,0.086111,0.335317,0.172222,0.464286,005678cab46fcec5
1652,1797.png,0.302778,0.103704,0.487963,0.271296,00341c3c5825fc7e
262,272.png,0.375,0.030957,0.63875,0.749531,019a26a362bc6814
689,736.png,0.068125,0.303002,0.119375,0.424015,0098915ff17c199c
2387,2616.png,0.189375,0.0,0.999375,0.999062,1ea07cd62ca193e6
1308,1433.png,0.111111,0.537582,0.648693,0.887255,00b5dd2f1bc8a0f1
1545,1688.png,0.50463,0.721296,0.867593,0.967593,0359b5b2e2f0bfcb
975,1063.png,0.1775,0.372255,0.975,0.892216,008ff4e98f5d12e5
835,887.png,0.575732,0.8625,0.899582,0.999375,0012aa7a73b51d94
510,552.png,0.0625,0.0,0.239375,0.393333,02ce218553cc3f15
2245,2455.png,0.40875,0.0,0.555625,0.63371,00459933348988dd
1189,1290.png,0.003125,0.0,0.996875,0.995575,014bd5e60ae7ce28
1000,1088.png,0.047,0.767,0.168,0.947,000af631fb329557
2452,2682.png,0.0,0.0,0.98625,0.993578,0004d0fa04223278
883,954.png,0.0,0.0,0.998958,0.997151,00af2faf31786f05
2313,2531.png,0.228333,0.10125,0.726667,0.944375,01a66c240fb2390f
1965,2141.png,0.515,0.00125,0.999167,0.865625,00d480fe5f01a039
433,462.png,0.359375,0.064062,0.998438,0.998438,03f6288f49430b0c
1295,1413.png,0.500625,0.0,0.998125,0.471667,3b7187d67cbd6b70
350,375.png,0.365234,0.595308,0.429688,0.717009,0023b0e23b369b8d
351,376.png,0.623047,0.33871,0.695312,0.475073,0023b0e23b369b8d
1049,1144.png,0.57125,0.727955,0.77375,0.999062,0230ff5703d20b38
1090,1185.png,0.088,0.646154,0.134,0.723077,03e246da0ee1114b
2043,2224.png,0.060625,0.342402,0.135,0.378987,0098915ff17c199c
2044,2225.png,0.890625,0.252345,0.95625,0.305816,0098915ff17c199c
2672,2933.png,0.04375,0.081633,0.99375,0.904762,00935bc6527d8e5f
1518,1661.png,0.709961,0.81901,0.992188,0.998698,0242b82d966c25c8
2531,2766.png,0.607813,0.303173,0.998438,0.749706,0081d67c4cfc9134
1218,1333.png,0.003096,0.131579,0.5387,0.984211,0dc7298a3f663786
64,71.png,0.23625,0.37,0.25125,0.413333,009fe379015d01ee
913,989.png,0.18625,0.866109,0.245625,0.971548,000467588f9797fc
2263,2473.png,0.34875,0.805021,0.3775,0.851046,000467588f9797fc
573,615.png,0.096875,0.856874,0.153125,0.950094,1c5ef6c1f1a07fc7
518,560.png,0.765,0.313333,0.979375,0.609167,02ce218553cc3f15
1629,1773.png,0.0,0.256554,0.375,0.43633,000ca4a1855318b1
1879,2055.png,0.578333,0.07125,0.680833,0.18375,0005f3f1f9ba2a3a
1927,2103.png,0.21375,0.417137,0.2625,0.463277,1c5ef6c1f1a07fc7
2437,2666.png,0.115308,0.354839,0.252485,0.744868,04a09540800376ab
1692,1851.png,0.366211,0.601173,0.421875,0.705279,0023b0e23b369b8d
1942,2118.png,0.68875,0.405838,0.7375,0.453861,1c5ef6c1f1a07fc7
330,349.png,0.432258,0.55375,0.852258,0.78625,074d6af730ed17a6
1316,1443.png,0.0,0.0,0.999375,0.999062,02fd221e94acd790
1713,1873.png,0.09,0.054945,0.945,0.906593,0144535ac673355e
1095,1191.png,0.85,0.013133,0.983125,0.213884,949868987aaecb8a
1193,1297.png,0.268125,0.0,0.99875,0.995745,0004233b5dfc6210
2515,2750.png,0.094375,0.178236,0.745625,0.383677,01b32704f5a7cc89
2208,2403.png,0.77125,0.4075,0.92125,0.451875,042d8fd4a805b9f0
2194,2389.png,0.292699,0.705,0.627771,0.999375,01a750e2c859d478
1611,1755.png,0.03875,0.35206,0.119375,0.411985,000ca4a1855318b1
2548,2786.png,0.0,0.0,0.998366,0.998366,011f132da434fc51
198,207.png,0.0,0.275,0.958245,0.999375,015782fa093545e0
786,834.png,0.0,0.674167,0.56375,0.999167,00048edce2a37368
918,994.png,0.34875,0.805021,0.3775,0.851046,000467588f9797fc
1471,1612.png,0.6275,0.41651,0.761875,0.954034,013d0f61873215a8
909,985.png,0.3225,0.28954,0.43625,0.412552,000467588f9797fc
733,780.png,0.50375,0.873474,0.536875,0.936737,00a2ad9365afcd7e
747,795.png,0.013125,0.0,0.68875,0.795833,14f52141d576557d
116,123.png,0.05,0.668889,0.161667,0.773333,02ecd01295b4e555
1481,1624.png,0.029412,0.174837,0.323529,0.964052,00a1568f9906eaa8
667,714.png,0.389375,0.160833,0.679375,0.87,0c346a0299f3e857
1544,1687.png,0.155556,0.663889,0.402778,0.951852,0359b5b2e2f0bfcb
1834,1999.png,0.1825,0.150833,0.72125,0.999167,00be189ddee94ecc
921,997.png,0.0,0.0,0.998366,0.998366,7dab6d4a1916c5ab
2382,2611.png,0.0,0.252516,0.081875,0.599268,0108699b58fba47f
2567,2816.png,0.00625,0.199167,0.765,0.745,11b999ea4caea71c
2224,2421.png,0.4075,0.111962,0.999375,0.894737,00bf8208b18e7b2a
1170,1271.png,0.094375,0.178236,0.745625,0.383677,01b32704f5a7cc89
1880,2056.png,0.726667,0.34125,0.818333,0.445,0005f3f1f9ba2a3a
1662,1813.png,0.19375,0.032864,0.890625,0.971831,0747097f650f1273
2172,2358.png,0.658491,0.0825,0.880189,0.36625,06a3c476e050000a
1131,1228.png,0.410625,0.737918,0.54875,0.999071,01dd21053307de4c
1176,1277.png,0.742969,0.0,0.778906,0.057579,0081d67c4cfc9134
2179,2365.png,0.07113,0.670625,0.358996,0.90625,0012aa7a73b51d94
1541,1684.png,0.732441,0.531875,0.814381,0.644375,001f581f2f2db648
1620,1764.png,0.516875,0.411985,0.566875,0.469101,000ca4a1855318b1
2415,2644.png,0.295,0.546667,0.578125,0.906667,010e1a56510ba844
1142,1239.png,0.176638,0.32906,0.522317,0.623932,007c8c28e1f149b1
1296,1414.png,0.503125,0.585833,0.98375,0.999167,3b7187d67cbd6b70
959,1037.png,0.005329,0.000625,0.955595,0.99,0a47456e8390f6c7
1201,1305.png,0.765,0.234458,0.868,0.333925,00097c09aca0cabf
1863,2039.png,0.765,0.313333,0.979375,0.609167,02ce218553cc3f15
307,318.png,0.302778,0.103704,0.487963,0.271296,00341c3c5825fc7e
1973,2149.png,0.963125,0.726079,0.999375,0.791745,03347e7344ce951a
1838,2003.png,0.0,0.0,0.9975,0.996564,0707b23bfe77f9c9
937,1015.png,0.0,0.309605,0.148125,0.682486,00efe4b4aa33acf5
2281,2493.png,0.25,0.080524,0.765625,0.990637,0351a7027db236c5
776,824.png,0.095,0.330833,0.273125,0.708333,00048edce2a37368
1014,1102.png,0.275,0.182857,0.434375,0.851429,00c0d1d91d662186
1681,1840.png,0.66375,0.00469,0.99625,0.881801,0027717ee5abd636
1856,2032.png,0.159375,0.0,0.901875,0.999167,02ce218553cc3f15
2492,2723.png,0.805318,0.821581,0.892688,0.976496,007c8c28e1f149b1
503,545.png,0.610625,0.135833,0.625,0.165,02ce218553cc3f15
2601,2850.png,0.883125,0.199812,0.999375,0.646341,08db94e7e12f2423
2398,2627.png,0.0,0.242044,0.861093,0.999036,003e064eaf653f57
2523,2758.png,0.655469,0.0,0.836719,0.350176,0081d67c4cfc9134
321,340.png,0.091875,0.274665,0.948125,0.764799,219de91e0842d21d
1853,2029.png,0.85,0.519167,0.9125,0.578333,02ce218553cc3f15
1187,1288.png,0.23,0.026667,0.766667,0.53,03437f8da8327c62
2247,2457.png,0.558125,0.1629,0.999375,0.996234,00459933348988dd
1227,1342.png,0.086875,0.041276,0.89,0.993433,00018457a4aafe75
2138,2321.png,0.134286,0.0,0.88,0.91,00b7abdc11a2d863
1478,1619.png,0.443125,0.4606,0.558125,0.874296,013d0f61873215a8
1464,1605.png,0.2,0.717778,0.323333,0.831111,02ecd01295b4e555
1740,1900.png,0.83375,0.769231,0.93875,0.978022,06c9fb98702d277a
646,689.png,0.724375,0.62758,0.855,0.73546,003df9e04b7ba316
1608,1752.png,0.656875,0.385553,0.949375,0.706379,019a26a362bc6814
289,299.png,0.0,0.0,0.999375,0.999167,00d618bec2f54a26
2365,2587.png,0.0,0.090833,0.998125,0.999167,075a5a2965ddfc74
1734,1894.png,0.15625,0.175422,0.485,0.886492,143f78f4150ae63d
143,152.png,0.291875,0.043333,0.70125,0.999167,00137de5b77904f3
1952,2128.png,0.0,0.0,0.913281,0.951651,0eb6e18693f9a7d3
1632,1776.png,0.215139,0.358936,0.626494,0.837518,10f14ca4434c12c6
2303,2515.png,0.351307,0.197712,0.635621,0.805556,f6155913e2244998
778,826.png,0.22125,0.463333,0.493125,0.898333,00048edce2a37368
2069,2250.png,0.234375,0.497225,0.446875,0.973363,00a2ad9365afcd7e
2089,2270.png,0.0,0.0,0.86625,0.999062,0064ef7d742c4c0c
1413,1554.png,0.3525,0.37,0.3675,0.391667,009fe379015d01ee
751,799.png,0.2625,0.215833,0.80375,0.7375,1e7970bb500aa534
2543,2781.png,0.753,0.701599,0.86,0.79929,00097c09aca0cabf
2576,2825.png,0.861875,0.854597,0.999375,0.999062,00018457a4aafe75
1451,1592.png,0.882031,0.133333,0.999219,0.261472,8467c3cf0b323a87
1096,1192.png,0.55,0.467167,0.58125,0.515009,949868987aaecb8a
2455,2685.png,0.81875,0.352294,0.88125,0.433028,0004d0fa04223278
123,130.png,0.466667,0.626667,0.583333,0.708889,02ecd01295b4e555
2389,2618.png,0.231333,0.23506,0.757333,0.919323,dc20b65ff03338ff
945,1023.png,0.0,0.24581,0.575625,0.587523,0094592d26800cf3
999,1087.png,0.743,0.394,0.967,0.646,000af631fb329557
1493,1636.png,0.38375,0.55574,0.56375,0.90183,080f58f4d224b2cb
1535,1678.png,0.0,0.82381,0.108333,0.99881,00518ca5686877e0
2199,2394.png,0.084667,0.528,0.608,0.943,008230603abe6ff1
744,791.png,0.0,0.0,0.86625,0.999062,0064ef7d742c4c0c
2337,2559.png,0.056,0.344,0.332,0.629,000af631fb329557
828,880.png,0.731132,0.700625,0.929245,0.95375,06a3c476e050000a
2079,2260.png,0.51125,0.294118,0.636875,0.471698,00a2ad9365afcd7e
79,86.png,0.57875,0.71,0.5975,0.743333,009fe379015d01ee
1005,1093.png,0.081,0.063241,0.386,0.699605,01cea79a0b4f1012
1825,1990.png,0.36875,0.547878,0.47625,0.869694,00758c10b2da2954
1622,1766.png,0.574375,0.481273,0.626875,0.498127,000ca4a1855318b1
1037,1132.png,0.0,0.252516,0.081875,0.599268,0108699b58fba47f
772,820.png,0.69875,0.498333,0.85375,0.716667,00048edce2a37368
2056,2237.png,0.309278,0.429612,0.899485,0.963592,0090099095a570d0
1686,1845.png,0.68625,0.0,0.999375,0.868668,0027717ee5abd636
1699,1858.png,0.453125,0.511719,0.667969,0.880208,00036ea2b476f860
1067,1162.png,0.69375,0.241769,0.999375,0.735654,01f998a08f52513d
726,773.png,0.32,0.0,0.40875,0.306326,00a2ad9365afcd7e
2136,2319.png,0.00625,0.0,0.96375,0.963333,0a3f7d4ec0b9845a
2352,2574.png,0.0,0.0,0.296875,0.078008,012e1654ae86d6c0
1483,1626.png,0.106875,0.101695,0.9975,0.999058,040c569a5f09a728
2367,2589.png,0.003125,0.423813,0.38,0.999167,0d5180edcff6f390
397,425.png,0.263682,0.108243,0.706468,0.683597,010fc05932a1bf6a
211,221.png,0.246732,0.001634,0.830065,0.960784,1166bfacb4b9a810
1744,1906.png,0.55625,0.151667,0.96375,0.694167,5fb4e2aa3626d769
1474,1615.png,0.1525,0.0,0.2525,0.149156,013d0f61873215a8
1106,1202.png,0.35875,0.06055,0.99875,0.944037,0004d0fa04223278
2525,2760.png,0.0,0.300823,0.999219,0.998825,0081d67c4cfc9134
666,713.png,0.068125,0.370833,0.2425,0.798333,0c346a0299f3e857
1246,1361.png,0.0,0.03125,0.3,0.835417,62775d9d1d9356c6
308,319.png,0.209259,0.07037,0.366667,0.242593,00341c3c5825fc7e
2438,2668.png,0.348571,0.189573,0.654286,0.800948,adb17fbb4752e35f
2493,2724.png,0.888889,0.813034,0.99905,0.971154,007c8c28e1f149b1
527,569.png,0.478551,0.486458,0.926597,0.684375,0008fba87dd4aed2
2681,2950.png,0.0,0.0,0.999375,0.999167,262d9f1512a7bae0
618,660.png,0.314,0.008996,0.759,0.919041,0216b25bafd61dec
353,378.png,0.265625,0.148438,0.513672,0.638021,00036ea2b476f860
233,243.png,0.73875,0.0,0.999375,0.999062,00ed67e74705df5b
2343,2565.png,0.686,0.812,0.859,0.958,000af631fb329557
2383,2612.png,0.113125,0.136322,0.165625,0.386093,0108699b58fba47f
827,879.png,0.658491,0.0825,0.880189,0.36625,06a3c476e050000a
1566,1710.png,0.11,0.108184,0.47125,0.85889,3245ffe3478d4143
1287,1405.png,0.40625,0.0,0.814583,0.993333,0055141363d9a00e
679,726.png,0.0,0.254221,0.135625,0.567542,0098915ff17c199c
965,1049.png,0.076875,0.098103,0.936875,0.968607,1af1bc56c79a4ead
214,224.png,0.00375,0.0,0.999375,0.985,10e97dd3b2d2c3f4
582,624.png,0.21375,0.417137,0.2625,0.463277,1c5ef6c1f1a07fc7
750,798.png,0.0,0.0,0.998438,0.9975,057432b5e43aa7bf
71,78.png,0.40875,0.683333,0.42625,0.713333,009fe379015d01ee
2414,2643.png,0.105625,0.159167,0.4425,0.635833,010e1a56510ba844
2434,2663.png,0.066,0.153846,0.34,0.532308,03e246da0ee1114b
2029,2210.png,0.8575,0.182927,0.96625,0.447467,0098915ff17c199c
541,583.png,0.715833,0.05,0.826667,0.30375,0005f3f1f9ba2a3a
1643,1788.png,0.397674,0.162162,0.562791,0.367568,699970c2f943750c
399,427.png,0.55625,0.151667,0.96375,0.694167,5fb4e2aa3626d769
571,613.png,0.02125,0.867232,0.06875,0.922787,1c5ef6c1f1a07fc7
1919,2095.png,0.12125,0.43597,0.26,0.56968,1c5ef6c1f1a07fc7
1414,1555.png,0.36625,0.366667,0.38,0.396667,009fe379015d01ee
1860,2036.png,0.48,0.059167,0.7225,0.241667,02ce218553cc3f15
1669,1822.png,0.365,0.502814,0.793125,0.999062,00600cd486b311c1
2269,2479.png,0.238125,0.347704,0.41,0.527648,079aeeda986b8dd9
75,82.png,0.55,0.683333,0.56875,0.746667,009fe379015d01ee
1111,1207.png,0.0,0.0,0.990625,0.987156,0004d0fa04223278
429,458.png,0.129085,0.478758,0.349673,0.632353,007b628d75c12302
193,202.png,0.183333,0.04375,0.720833,0.859375,007e3abfca47e026
2064,2245.png,0.00125,0.0,0.341875,0.511654,00a2ad9365afcd7e
1479,1620.png,0.588125,0.4803,0.6725,0.883677,013d0f61873215a8
2011,2192.png,0.068125,0.370833,0.2425,0.798333,0c346a0299f3e857
1533,1676.png,0.644444,0.100503,0.671111,0.136935,07b5bc80c5797f3a
922,998.png,0.125,0.285848,0.40625,0.564199,079aeeda986b8dd9
354,379.png,0.453125,0.511719,0.667969,0.880208,00036ea2b476f860
1704,1864.png,0.06,0.735294,0.935,0.845588,02f4615f035e73a6
1477,1618.png,0.440625,0.0,0.496875,0.15666,013d0f61873215a8
151,160.png,0.147059,0.267974,0.183007,0.331699,05bf044b6e59fcbf
2099,2281.png,0.39375,0.406667,0.771875,0.824167,01bbf1b6a15a4917
738,785.png,0.540625,0.880133,0.5675,0.90677,00a2ad9365afcd7e
2356,2578.png,0.029687,0.026563,0.873438,0.454688,0d999a6745b996ac
1542,1685.png,0.1325,0.261194,0.80125,0.798507,0e762da5045a61d7
85,92.png,0.60875,0.706667,0.62375,0.738333,009fe379015d01ee
696,743.png,0.95375,0.241088,0.999375,0.393058,0098915ff17c199c
654,697.png,0.604375,0.292683,0.774375,0.686679,2675cbd3dd7c488c
2510,2745.png,0.631875,0.445,0.928125,0.928333,0141eb8240d1e2a4
2563,2812.png,0.003096,0.131579,0.5387,0.984211,0dc7298a3f663786
317,334.png,0.19375,0.032864,0.890625,0.971831,0747097f650f1273
1048,1143.png,0.53,0.237336,0.810625,0.791745,0230ff5703d20b38
1705,1865.png,0.25,0.095,0.992969,0.790625,008b8556a73601ae
504,546.png,0.7875,0.465,0.8175,0.489167,02ce218553cc3f15
536,578.png,0.0,0.0,0.961667,0.99875,0005f3f1f9ba2a3a
103,110.png,0.232031,0.406061,0.455469,0.675325,8467c3cf0b323a87
998,1086.png,0.686,0.812,0.859,0.958,000af631fb329557
2677,2938.png,0.0,0.077861,0.999375,0.999062,01c769c93ed93275
2640,2892.png,0.500625,0.0,0.998125,0.471667,3b7187d67cbd6b70
1775,1938.png,0.138889,0.501634,0.310458,0.580065,007b628d75c12302
770,818.png,0.0,0.71,0.225,0.999167,00048edce2a37368
740,787.png,0.633125,0.350721,0.784375,0.664817,00a2ad9365afcd7e
2078,2259.png,0.50375,0.873474,0.536875,0.936737,00a2ad9365afcd7e
1682,1841.png,0.171875,0.165103,0.69625,0.909944,0027717ee5abd636
153,162.png,0.51,0.0,0.998571,0.997845,016d09e51ef37ef1
2001,2178.png,0.502,0.646667,0.64,0.754,05577d3d15e454c3
904,980.png,0.0,0.001634,0.259804,0.828431,cd7b3621c53d1ffe
896,972.png,0.850625,0.485237,0.999375,0.856226,090be8149aa10e63
2067,2248.png,0.128125,0.358491,0.185625,0.445061,00a2ad9365afcd7e
1707,1867.png,0.690625,0.607813,0.998438,0.88125,04726830998785ed
1873,2049.png,0.35625,0.515009,0.491875,0.678236,0017830e8b7b0579
885,956.png,0.396875,0.31,0.6125,0.620833,001e2cd338ff3ed0
1129,1226.png,0.266667,0.212963,0.477083,0.611111,00dcb1776e8d6c2a
273,283.png,0.50125,0.463483,0.56125,0.519663,000ca4a1855318b1
662,707.png,0.02375,0.286116,0.458125,0.824578,15b234c4036dd16c
572,614.png,0.07875,0.527307,0.2275,0.663842,1c5ef6c1f1a07fc7
1012,1100.png,0.185937,0.710938,0.809375,0.940625,0d999a6745b996ac
1577,1721.png,0.089375,0.003752,0.73625,0.999062,00ed67e74705df5b
2286,2498.png,0.5125,0.462147,0.72875,0.581921,00efe4b4aa33acf5
1467,1608.png,0.405,0.555556,0.51,0.628889,02ecd01295b4e555
1017,1105.png,0.271875,0.337143,0.43125,0.857143,00c0d1d91d662186
2570,2819.png,0.329375,0.029081,0.548125,0.234522,00018457a4aafe75
